text,emotion,pred_label,confidence,error_type
I wish he was still around. there was a litter under our azalea. I caught DD in the back yard @ 6 am with bunnies in her lap.,joy,sadness,0.36276805,joy → sadness
i feel disheartened and discouraged that the process is so difficult i need ease and learning in the process of finding a partner,joy,anger,0.8163193,joy → anger
De nazi's zijn nog in zit hier een vent met een gigantisch hakenkruis op zn hand,joy,surprise,0.9828615,joy → surprise
i feel agitated and angry and dismayed at the predictability of how capital markets will now deal with an earth that is increasingly crowded its resources increasingly finite its people completely fungible,joy,anger,0.9261524,joy → anger
"So, turns out I have a lot more time in the morning when I don't go on tumblr....",surprise,joy,0.31336325,surprise → joy
"Wow, that is great!! I'll do that! Sorry for the misunderstanding! And see you soon! Going to Orlando in two days!! )",sadness,joy,0.6221495,sadness → joy
"When I saw in the newspapers, on the T.V, and magazines the chaotic situation caused by the drought and hunger in Mauritania.",sadness,anger,0.48560378,sadness → anger
lolz at your modesty...***kix all the gals will be lined up at your door,surprise,joy,0.3494018,surprise → joy
i find myself hopping into my zipcar i feel so obnoxious showing up the garage down the street and telling the attendant i ll have the nissan today or i ll have the prius today and driving an hour one way to get my new alleged teaching gig,anger,neutral,0.5745178,anger → neutral
Duely noted my dear friend! Give us a head's up the next time you want to drop in!,surprise,joy,0.5691836,surprise → joy
i feel devoted to study and to ceaseless a href http bosaale,joy,neutral,0.9739913,joy → neutral
The best thing about Ciara. She just finished singing!,anger,joy,0.4353741,anger → joy
Some things can ruin your day real quick,surprise,sadness,0.6497903,surprise → sadness
agree completely. it's all about attitude &amp; chutzpah,surprise,joy,0.8196563,surprise → joy
what about aPORKalype Now for the made for TV movie?,joy,surprise,0.36454722,joy → surprise
"It is a long story . Basically , she thought I had laughed at her while I didn't .",sadness,anger,0.81683093,sadness → anger
i paced the garage smelling the rain feeling helpless,anger,neutral,0.9849117,anger → neutral
i feel like was ten wines out of those we determined the a title vintners reserve red href http chateauobrien,anger,neutral,0.90787774,anger → neutral
"No, seriously you guys, I /wanted/ to kick Monday off with starwarswithaddedpants spam. Really",sadness,surprise,0.26005998,sadness → surprise
I hope this isn't one of those forever things. Its funny how money can change everything,sadness,joy,0.59565914,sadness → joy
"But I am on pg 145 of 165, so I'm getting close! *yawn*",surprise,joy,0.66592807,surprise → joy
yeah .... just bought tickets for Pearl Jam in August,joy,surprise,0.46472615,joy → surprise
I don't get it...,love,sadness,0.667426,love → sadness
"The holiday season really sucks when your e no fear tho, soon it'll be Valentines Day and you'll really feel like shit.",joy,sadness,0.60726523,joy → sadness
"My dad called me fat on my face the other day. So, his punishment was to buy me a new perfume- Gucci Guilty Intense :D",joy,anger,0.4998528,joy → anger
The could be more than just a sport. I am now viewing this as a perfect example for practising replacement of,anger,joy,0.50731134,anger → joy
Congrats on the tax refund. Those are always nice.,surprise,joy,0.65236384,surprise → joy
"I was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up. After having waited for him for some time (about an hour) I called him up, to be told that he did not intend to come as he was feeling tired.",anger,sadness,0.772807,anger → sadness
should sleep more.,sadness,joy,0.51763976,sadness → joy
someone just bought 27.5 million dollars worth of 20+ yr. US treasuries at mega spike ! they trust U.S. Treas ?,sadness,anger,0.35642081,sadness → anger
is finally done and dusted so I can concentrate my my xmas card design. First I sleep.,surprise,joy,0.64724374,surprise → joy
College work sucks so much!,anger,sadness,0.52243483,anger → sadness
"not cool, Mark, this song is going to be stuck in my head all day. but I love you, anyway... is it Star Wars Day today? cool",sadness,surprise,0.37470922,sadness → surprise
Got 38 followers now!,love,joy,0.46171632,love → joy
"Greetings Joan: Just wanted to say I STILL MISS waking up to your pleasant personality &amp; face in the a.m. Hugs, Angel",surprise,joy,0.38029873,surprise → joy
Work is too boring. Just me myself and i. And twitter. And random people that walk in from time to time.,joy,sadness,0.56994796,joy → sadness
"You sound like my wife! We're here now, the phone rang non-stop nearly all the way",joy,surprise,0.371101,joy → surprise
oooo ok you should put because I was clueless because I have 3 ppl who have access to my account,joy,surprise,0.4046834,joy → surprise
what you took your bracket off... ? And now it's time for bed !,sadness,joy,0.33986425,sadness → joy
I have trouble with Starship troopers. They're mean to the great big pink bug.,sadness,anger,0.60899633,sadness → anger
"Típico que me pones la alarma en mi cel, suena en la mañana y un día después",surprise,sadness,0.57500017,surprise → sadness
Hah! Thanks.,love,joy,0.6373237,love → joy
Feel worse than I did before and I cant get back to sleep itsgonnabealongnight,surprise,sadness,0.8531317,surprise → sadness
i bet they did some people have no ideia or standards have a lovely time the pair of you,surprise,love,0.9955922,surprise → love
i feel inspired by ayas courage to live on despite her disability caused by the disease,joy,anger,0.97826034,joy → anger
meeting just in time that iï¿½m trying to win something prize's friday!,surprise,joy,0.5166112,surprise → joy
I still smell of smoke kitchenfire,surprise,sadness,0.50037026,surprise → sadness
”fuck all ya we ignore feelings never actually m alone I just always feel alone ”,sadness,anger,0.56129116,sadness → anger
hello! ! following on recommendatiion of !,surprise,joy,0.86820215,surprise → joy
no it esh,surprise,sadness,0.55362,surprise → sadness
tysm but i just made +uploaded one so its okay! but lol im looking thru your pics now il the just wanna fuck shit up one lmao,joy,sadness,0.3892109,joy → sadness
From what I understand I have 5 papers due Monday? awesome,surprise,joy,0.4668242,surprise → joy
well your feeling was right “: I just had a gut feeling it was about me”,surprise,sadness,0.42838755,surprise → sadness
"don't i know it, writing an exam essay this weekend myself",sadness,surprise,0.4736545,sadness → surprise
good talk with muchos needed,sadness,joy,0.5454134,sadness → joy
nothing this time. just got home. yah?,sadness,surprise,0.45520887,sadness → surprise
Goddamn bloody stress and shit sending my body haywire,sadness,anger,0.73232335,sadness → anger
DAMN-----&gt; She Got Her EyeBrows Arch Sooo High Every Time She Look At Me I Think She Tryin To,surprise,anger,0.41043606,surprise → anger
i bought this doraemon backpack from a charity store i had every intention of putting it in my etsy store but i feel like its too cute to sell,neutral,joy,0.66083074,neutral → joy
"when you see Jackson later today, give him hugs n' kisses from me",love,joy,0.47006306,love → joy
have you seen the game on the website?! awesomness!!! go on msn,love,joy,0.6092645,love → joy
had nutella croissant+mango+melon+coffee and a lovely stalk of iris for breakfast in bed courtesy of N Have the house to myself til noon,love,surprise,0.36474073,love → surprise
ontd is our god,sadness,joy,0.47360435,sadness → joy
&quot;: To live in is a life half-lived. Spanish Proverb&quot;,sadness,joy,0.4854967,sadness → joy
goodmornin waking up before the weekend and thinking damn i got an 8:30 class,surprise,joy,0.4111556,surprise → joy
How inconsiderate!,sadness,anger,0.56245804,sadness → anger
drank a 2003 I guess that doesnt count?,joy,surprise,0.4316124,joy → surprise
"Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects .",sadness,anger,0.9164989,sadness → anger
not impressed....! it might go away if you complain too much! x,anger,sadness,0.5874941,anger → sadness
back to Salvador. Wish I was in Sao Paulo to see the second concert,sadness,joy,0.47049975,sadness → joy
id done my duty of making bacon for fathers day our house stank of it still does id rested and took my medication for straight days and somehow managed to shovel copious amounts of crap down my throat and i was left feeling like a grumpy piece of lard,neutral,anger,0.6581029,neutral → anger
I wanna go,joy,sadness,0.4997487,joy → sadness
LOVED Britain's got talent last night! Shaun and Greg were both amazing! Were they HOT 't say I noticed?!!,love,surprise,0.43433684,love → surprise
industrial tommorow! oh yeah &amp; I get to go see a bunch of old people go away forever &amp; I will probably cry all over the place.,sadness,joy,0.42498317,sadness → joy
Hello e yup we sure do ely to 'see' you xx,surprise,joy,0.46777573,surprise → joy
"Shame they got a whole band on stage, and they still playing a track too... this is what's wrong with the industry",sadness,anger,0.44840533,sadness → anger
"Thanks! Your name strikes me every time I see it, as a friend of mine uses belofsouthie as her email",joy,surprise,0.4654826,joy → surprise
don't follow me. You will ruin my twitter experience,sadness,anger,0.59339374,sadness → anger
"Thank You, Sweetie. I just don' understand how people can be mad at me for something THEY made as a choice in life..",love,anger,0.59878504,love → anger
"Last day in Exeter! Had last session in gym, last breakfast.. last meeting coming up",sadness,joy,0.52606666,sadness → joy
"Im soo happy Kellz is back from TN, we bout hang out all the time",love,joy,0.6526628,love → joy
"Yes it's herrrrr. Dude, I'm gonna fucking cry.",sadness,surprise,0.2988346,sadness → surprise
I have two hours to wait for my tire to get repaired.,love,joy,0.44148073,love → joy
apparently a looong time seeing as they seem to be everywhere except LA,surprise,sadness,0.5267399,surprise → sadness
"Today was definitely a good day, had fun! Gunna try to get ahead on school now, so text me! &lt;3",surprise,joy,0.7519021,surprise → joy
Anne Hathaway will never be my wife? :'( Congrats Anne -- I love you &lt;3,sadness,surprise,0.33873072,sadness → surprise
i was going home time after time feeling devastated and one night in bed i was frightened by a feeling of hatred,neutral,anger,0.8390827,neutral → anger
better safe than sorry! Glad everything is okay.,joy,sadness,0.42997342,joy → sadness
i think something like of my peers conservatives and liberals alike completely loathe jackson i feel his contribution to the democracy was vital and fundamental,joy,anger,0.9981693,joy → anger
i can tell vulcans are functionally asexual whenever theyre not in pon farr which is most of the time oh they may deep down be having sexual feelings but those are feelings and to be ruthlessly repressed,joy,neutral,0.50291044,joy → neutral
About to clock into work,neutral,joy,0.61823237,neutral → joy
“: I hope you know that y'all the reason I have fun still )': &lt;3drake&quot;,sadness,joy,0.53725,sadness → joy
tooth fairy is coming to ur house tonight.,surprise,joy,0.48360828,surprise → joy
"en route to the HQ of Intercontinental Hotels in Denham, Buckinghamshire which is also the home of Cilla Black IHG",surprise,joy,0.39389622,surprise → joy
A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?,sadness,surprise,0.52339107,sadness → surprise
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,anger,surprise,0.43615824,anger → surprise
Really wishes he had some spare cash to buy the new Punch Out for Wii,sadness,joy,0.38319612,sadness → joy
My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots .,anger,joy,0.4050855,anger → joy
awwww look at this motherfucking POTUS nerdprom,sadness,surprise,0.3215064,sadness → surprise
im going to start with blogging more again and hopefully when i feel brave enough ill write a short story then one wondrous day ill write a novel,neutral,anger,0.52522135,neutral → anger
"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. anaconda fuckthatshit",sadness,anger,0.49772084,sadness → anger
I did wake up but i appear to have missed you by not much!,surprise,sadness,0.7423435,surprise → sadness
"eh lo so perché è fidanzato con un'altra donna, tra l'altro mezza italiana.",sadness,surprise,0.4935528,sadness → surprise
"Welcome December! It's so weird that you have a crap ton of snow, and I have none!",sadness,surprise,0.46723384,sadness → surprise
Rolling me up a nice lil ol lil wake and bake lol,sadness,joy,0.61903685,sadness → joy
Hahah (: thats the truth! knowing that class we will probably do 3 worksheets.,joy,surprise,0.44459373,joy → surprise
"Oh , over there in Pacific Pavilion .",neutral,joy,0.35925233,neutral → joy
dude you didn't even say bye,surprise,sadness,0.34769028,surprise → sadness
Great night for phils 30th congrats mate!,surprise,joy,0.55638444,surprise → joy
is playing restaurant city.,surprise,joy,0.5374721,surprise → joy
I just found out. I still have Dragonsong from when I was a kid(stolen from my public school library !),sadness,surprise,0.46068445,sadness → surprise
Max's friends Bob and Kayley stopped by on their way back to CO. We gleefully took turns riding the pink unicycle.,surprise,joy,0.605482,surprise → joy
When I received my results and found out that I could not go to a school of my choice.,sadness,anger,0.5452666,sadness → anger
i take my easel out in the summer air and paint what i feel last night my deeper self was agitated,joy,neutral,0.94785297,joy → neutral
I lead a rather secure life. The only thing I can remember is a song from the nineteenth century which is against alcohol. Both the melody and the word (although naive) effected my emotions.,sadness,anger,0.54281956,sadness → anger
My stomach is all EXPLODE from the wendys why is everything that tastes good bad for you?,anger,sadness,0.49032784,anger → sadness
A6 The Arab Spring may be the original trigger w/IAC being fuel 2 fire. GOI BigBattle,sadness,surprise,0.30631956,sadness → surprise
i didnt feel that emotional hollowness because none of it was believable,sadness,neutral,0.9638452,sadness → neutral
Can't wait for tomorrow! thank you sunshine,surprise,joy,0.6526379,surprise → joy
"Thought you had. Must have been a careless command-x on my part. RT : dang, I didn't make the 6 words post. I",sadness,anger,0.47801507,sadness → anger
sick. lonely. freezing.,joy,sadness,0.8823513,joy → sadness
Ready to watch burrcats kick ass the BOB!,sadness,joy,0.5891541,sadness → joy
tired + ict exam = headache,joy,sadness,0.5597568,joy → sadness
i feel i should update more often altho at this point i feel my only reader is the ever faithful and awesomely awesome cassandra but alas i did realize something last night when reading past entries that i seemed more at ease letting out the good the bad and the whatev on my old blogs,anger,joy,0.98817307,anger → joy
this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool,sadness,anger,0.6384055,sadness → anger
"well I'm sure Saturday morning will make up for it :D (also, you last tweet best not be about me!) Haa",surprise,joy,0.45345873,surprise → joy
well thats not nice... hope ur all good now,anger,joy,0.42169172,anger → joy
&lt;~~~~ If she worth some den she definitely worth some effort,anger,joy,0.4663337,anger → joy
the last time i had sex,neutral,sadness,0.4650258,neutral → sadness
i feel the need to also mention because i find it humorous that brad left to get beer about minutes after i got home,neutral,joy,0.84890574,neutral → joy
"L'ami qui écoute sans repères de Sniper, histoire un peu trop vrai pour lui. Je vous avoue que je sais pas comment réagir là",sadness,surprise,0.8083193,sadness → surprise
thank god my mom bought me a snowman kit too !!!!!,surprise,joy,0.58543736,surprise → joy
got the twilight board game today good old ebay..,sadness,joy,0.6716749,sadness → joy
Wind blowing half a gale and sky's ominously dark. Cue lunch time downpour and insane teen squealing.,joy,sadness,0.58580023,joy → sadness
Somehow managed to fling my sock into the toilet. And the cherry? I hadn't flushed yet.,joy,anger,0.38373137,joy → anger
doing the andy dance the one on fonzie gomez show ;) haha,sadness,joy,0.5588127,sadness → joy
Hey ugh im sick and its summar !,anger,sadness,0.536309,anger → sadness
Just spent the last two hours playing L4D with babe Had HELLA fun. I love him &lt;3,love,joy,0.46140927,love → joy
Apparently somebody tried to break in last night. merp,joy,sadness,0.35975993,joy → sadness
When I was bringing in the shopping and nearly stood on a snake.,sadness,anger,0.5104202,sadness → anger
enjoy it I fuckin lost the money,sadness,joy,0.44919336,sadness → joy
Good morning IBS!! Can't get off toilet (sorry for TMI) and now feel like I might puke!,joy,sadness,0.6260636,joy → sadness
i was feeling a bit discouraged by my lack of progress fundraising wise and frustrated by the miles that distanced me from being able to do anything about it,joy,anger,0.80266684,joy → anger
I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others &quot; His ego talked and I'm in d line,sadness,surprise,0.47689262,sadness → surprise
"it's the small things in life that count, like being on a blur photograph of google streetview.. keep following !!!",surprise,sadness,0.36443877,surprise → sadness
- don't judge me. tucking myself in tonight mogwai on repeat,anger,joy,0.38122737,anger → joy
i will feel fall to harm of the left leg be aching and sit previous hourempty boundary happy skythe in the mind be then fidgety uneasy imitate fo to sit on the cushion of needles,sadness,joy,0.9995228,sadness → joy
Oui mademoiselle. You can barely turn around these days without bumping into one.,anger,surprise,0.3611673,anger → surprise
"Going to have a hot chocolate at 10 when I watch american horror story, will help me sleep after.",sadness,joy,0.44879928,sadness → joy
"if the ugly chick gets her hair done &amp; stops dressing bummy, she might be bad.",surprise,sadness,0.40998897,surprise → sadness
"Since you've all been good this year, the 2012 coords and bringing holiday cheer! Don't forget to check your email... NSO12",surprise,joy,0.70486706,surprise → joy
"We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working !",joy,anger,0.40080127,joy → anger
awwww bless her she needs another chance.,sadness,joy,0.58287114,sadness → joy
"It turns out that underneath is Hurt , and underneath Hurt is love ... can you feel it?",anger,sadness,0.35405245,anger → sadness
Okaii Cool! I Can't Wait For The Series To Begin It's Guna Be Awesome x,sadness,joy,0.5957275,sadness → joy
Waaah! Masseuse is fully booked. No shoulder rub today.,surprise,sadness,0.52438444,surprise → sadness
RIP leonardo. You were a great mini fiddler crab,joy,sadness,0.46924555,joy → sadness
oh haha thanks again! that's something new!,surprise,joy,0.6326227,surprise → joy
Meet santa at the hospital,joy,surprise,0.47536278,joy → surprise
"Oh, by the way, can you guess a terrible news?! Super 8 comes here on 14th december! :(( Is unfair!! :(",sadness,surprise,0.53042483,sadness → surprise
I haven't even told you what it is yet !,anger,surprise,0.5074235,anger → surprise
Faced a major today. My first time on the bike to office. whew,sadness,joy,0.46627164,sadness → joy
call me when your done with your finals and tell me how you did YOU CAN DO IT!!!!!!!!!,surprise,joy,0.52008563,surprise → joy
I'd plead not guilty if she's a fresher.,surprise,sadness,0.36401144,surprise → sadness
Get changed !,neutral,anger,0.62619686,neutral → anger
Thinking about killing my self cuz I've studied the wrong subject and I've just realized that NOW :&quot;(((((,anger,sadness,0.3959937,anger → sadness
I hate flop nights... You get excited then BAM nothing happens OhWell another night,sadness,joy,0.42010644,sadness → joy
see i never got kyile.. not then not now ... see I must have some taste,anger,sadness,0.48064667,anger → sadness
just met Sarah Kelly... wow... she is an amazing woman of God! and she gave me a free t-shirt! gotta love free merch,joy,surprise,0.5281151,joy → surprise
i think its important for new members to affiliate marketing if a mod or admin feel like its not acceptable feel free to delete it,neutral,joy,0.62851983,neutral → joy
you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,joy,love,0.4184086,joy → love
i agreed that we need to make sure he doesnt feel threatened like that again when we are starting him under saddle,sadness,neutral,0.99008256,sadness → neutral
"Had to fix bike chain on the way to ived a filthy, bloody mess lovely weather though!",anger,surprise,0.36086553,anger → surprise
i feel it is my solemn duty to share this divine knowledge of mine in order that others may benefit from it s truth and beauty and render their world just a tad closer to thearchitecturality that utopian perfectly set garage society to which we all strive,anger,neutral,0.8902561,anger → neutral
im feeling vile about myself as my weight has gone back up to stone and lbs but im being very careful about calories intake and making sure i get an hours exercise a day,neutral,anger,0.69773406,neutral → anger
Auditioning at the Coterie was oddly fun :),surprise,joy,0.46782237,surprise → joy
Am sure boys wuld soon start baffin in d toilet sef!!new hall boys,sadness,surprise,0.3854385,sadness → surprise
"Horror by gunfire differs little from horror inflicted by the guillotine , sword or wheel , it seems , and sheer bestiality lurks only fractionally below the veneer of so-called civilized societies .",sadness,anger,0.48979303,sadness → anger
"hi there, nice to meet you. I am new to twitter and I guess you are too?",neutral,joy,0.68910664,neutral → joy
i was feeling rather anxious bad when you have an ulcer reviewing the current depleted storehouse and lack of suitable water storage and so forth where i am now,anger,neutral,0.501473,anger → neutral
"The Same Niggas Keeping my NAME in they MOUTH, but they aint saying to my face... The taking over these lil guys . Winning.",sadness,anger,0.5448203,sadness → anger
What's up yall! I made it an early night! I think ima bout to take a shower and chill witcha! Did I miss anything?,surprise,joy,0.3911615,surprise → joy
i was amped up on epidural and could no longer feel the cramping what happened next startled me,neutral,surprise,0.51255226,neutral → surprise
It's a beautiful nice day and I'm stuck inside!,sadness,joy,0.32371688,sadness → joy
Trying to save money for an iPod touch!,surprise,joy,0.5546612,surprise → joy
I would lose my umbrella the last week of class,surprise,sadness,0.77966934,surprise → sadness
"Sitting on my bed eating kider chocolate to calm my nerves... I will work out later, right now I need comfort food!",anger,joy,0.7145966,anger → joy
u just made my night with the u just topped a free dinner!,surprise,joy,0.59860533,surprise → joy
Just got off the phone with lainey the love of my life . . . Now im taken a crap,joy,sadness,0.3391452,joy → sadness
you guys missed out on free shots from nick! We got them right after you left,sadness,surprise,0.4398043,sadness → surprise
Is with our dog at the doggy park!,sadness,joy,0.6609856,sadness → joy
i had started with a journey i really planned to figure out why i authorized myself to stay in my very last relationship for so long without promoted growing and not feeling liked or fulfilled,neutral,joy,0.4829234,neutral → joy
Trance or Drum'n'Bass are awesome for working!! *dances it out*,love,joy,0.6267306,love → joy
"just made fruit brownie pizza stuff. :) put it in the oven with the turkey, too flavorcombo !!",surprise,joy,0.5266043,surprise → joy
When an earlier friend was spreading negative rumours about me.,sadness,anger,0.9102644,sadness → anger
"Lol, cheers 'mate'. Yeah it went well thanks",surprise,joy,0.68896365,surprise → joy
stopped working on the image database awhile ago to help Greg with his term paper. Now chit chatting with Greg.,surprise,sadness,0.42677176,surprise → sadness
Pizza Hut just delivered my pizza 20 minutes early AND it is one of the top five best pizzas I've ever had from there.,surprise,joy,0.4856265,surprise → joy
&lt; that! its so cute and currently has ymas pumping full blast ! i dont know what to revise for comms,surprise,joy,0.5135484,surprise → joy
using my brothers G1 phone.. love it! driving to vegas... my phone died this morning and my charger broke,love,sadness,0.63550144,love → sadness
is giving at Christmas time and not expecting one back,joy,surprise,0.7985139,joy → surprise
I got whooped by Jason Bradbury. Ace :0,surprise,sadness,0.3619159,surprise → sadness
"Haha, AWESOME! And, clearly, only Trinity is awesome enough to have access to it!",love,joy,0.48131764,love → joy
"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. anaconda fuckthatshit",sadness,anger,0.49772084,sadness → anger
Rubbing hand sanitizer on your hands when you have hidden cut. hurtsogood,surprise,sadness,0.45431882,surprise → sadness
boo you didnt answer my text,anger,sadness,0.42456803,anger → sadness
Asians driving around in vans in the Target parking lot.,sadness,joy,0.5154482,sadness → joy
I just see a tweet from Miss Bonnie??? phone died oster has alltel I miss you,surprise,sadness,0.8275387,surprise → sadness
Fantastic Expectations Amazing Revelations,sadness,surprise,0.61830395,sadness → surprise
"Hahahaha! I didn't know it said that, sheeeeittt! I don't get why I can't have a picture... bwaaaahhh",sadness,surprise,0.4980986,sadness → surprise
Officially no hotel rooms anywhere in valdosta georgia. Some kinda big race here.,anger,sadness,0.4803307,anger → sadness
"No Happy Mums day for the Mums, only the guys????",surprise,sadness,0.45367458,surprise → sadness
"awwwwwww, our kitties are the BEST!",surprise,love,0.37804142,surprise → love
Glad you got to walk. Finish the damn thesis.,anger,joy,0.6781826,anger → joy
"feeling queasy, might run across the road and spew on my sister",surprise,sadness,0.4610666,surprise → sadness
"Watching the Broncos vs Chiefs 1994, Montana vs Elway on NFL Network. I still have nightmares about this game FU KC!",anger,sadness,0.45720983,anger → sadness
when people without my permission pry in my belongings and take things out of it,neutral,anger,0.57273185,neutral → anger
Damn I ain't drive my Car all Day ..,surprise,anger,0.45322368,surprise → anger
Oh we're friends now? You know you're so up &amp; down with me. I retract my last statement thennnnnnnn.,joy,surprise,0.3389136,joy → surprise
You can't beat a bit of Division. Interzone.,joy,sadness,0.3140132,joy → sadness
Pshh i dont have it,surprise,sadness,0.57139844,surprise → sadness
trying to reply your tweet but phone is dumb. clicked many buttons for nothing.,sadness,anger,0.4372882,sadness → anger
Wow.. that really sucks!,anger,sadness,0.5142238,anger → sadness
"Don't have time to chat (sorry girls Miss y'all!), but we have a new lawnmower... yeah, that was today's highlight. Tomorrow is...",sadness,joy,0.374009,sadness → joy
i fundamentally believe in what corr a do lago stated that s why i feel so honoured to participate in the we canada initiative,joy,neutral,0.69492793,joy → neutral
cn i gt a twit frm u pls? Hva gr8 shw 2nyt !,love,surprise,0.45578957,love → surprise
Pensar que la semana que viene termino la mayoria de mis clases me dan ganas de llorar de felicidad.,joy,sadness,0.36566824,joy → sadness
"It's too late to say sorry , what am I going to do ?",anger,sadness,0.63438225,anger → sadness
i used to feel proud that i could be satisfied with simply drinking my breakfast in the form of a yummy latte after all how can a beverage be bad for you,anger,neutral,0.94297516,anger → neutral
"Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late!",sadness,surprise,0.4729182,sadness → surprise
"bye y'all wolverine soon ooaf hugh jackman, tell ya what he can sctrahc me anytime ;)",joy,sadness,0.42384076,joy → sadness
